row_id,surface,adsorbate,layers,total_energy_eV,adsorption_energy_eV,height_A
1,Al,C,1,0.6779345525889755,-3.421480709172543,1.2558400661489983
2,Al,N,1,0.4640365839479954,-5.2353786778135225,1.2093709351234276
3,Al,O,1,0.7051746586906353,-4.4942406030708835,1.5469173731439798
10,Ni,C,1,0.8711641294133061,-3.744446986015623,1.3732109599439866
11,Ni,N,1,0.7199011470266123,-5.495709968402316,1.3784159622407994
12,Ni,O,1,0.9649114332831132,-4.750699682145815,1.5867768244973623
19,Cu,C,1,0.6387373545050901,-3.6175262201766385,1.3711102187673099
20,Cu,N,1,0.47991909620651985,-5.376344478475208,1.3692416443133453
21,Cu,O,1,0.6957887196524641,-4.660474855029264,1.5805781288529108
28,Pd,C,1,0.4621008246670315,-3.6880810009813363,1.4356743646752432
29,Pd,N,1,0.3163313656766156,-5.433850459971751,1.4509673851390457
30,Pd,O,1,0.550499366012541,-4.6996824596358255,1.6363432553753898
37,Ag,C,1,0.44690902312973657,-3.597174364479885,1.3673546118717486
38,Ag,N,1,0.2651365686045235,-5.3789468190050975,1.3672070493850401
39,Ag,O,1,0.526190684140742,-4.617892703468879,1.5928194016580597
46,Pt,C,1,0.5386040179508593,-3.802891148102827,1.4835231343643662
47,Pt,N,1,0.429140846370375,-5.512354319683311,1.5199763666085648
48,Pt,O,1,0.6599213498900358,-4.78157381616365,1.6950288526362538
55,Au,C,1,0.5059604468457026,-3.6136706612648664,1.4654485510747952
56,Au,N,1,0.36575158408345576,-5.353879524027112,1.4846180910627254
57,Au,O,1,0.5737315086409236,-4.6458995994696455,1.6861756968970352
4,Al,C,2,0.6823336645147662,-3.4180689416545094,1.2622227972594886
5,Al,N,2,0.47706413591487884,-5.223338470254396,1.2191834570238829
6,Al,O,2,0.704881209481548,-4.495521396687727,1.5527019457962146
13,Ni,C,2,0.8633816855514445,-3.730394506097759,1.3759290934418091
14,Ni,N,2,0.7166833140108455,-5.477092877638357,1.3816328152808617
15,Ni,O,2,0.9529942767451907,-4.740781914904012,1.5897560617228317
22,Cu,C,2,0.6225219205223542,-3.5909113237188475,1.3780209857005312
23,Cu,N,2,0.469515525280376,-5.343917718960825,1.3756046286623334
24,Cu,O,2,0.6708254420918518,-4.6426078021493495,1.5865087581290123
31,Pd,C,2,0.420120498739613,-3.6297695718221075,1.4482973242810537
32,Pd,N,2,0.28030431231765984,-5.36958575824406,1.4606041732028516
33,Pd,O,2,0.4902530351718095,-4.659637035389911,1.6438335018045453
40,Ag,C,2,0.42971229725605387,-3.559864532091959,1.376927519057702
41,Ag,N,2,0.25323883406336556,-5.336337995284647,1.3748766080353416
42,Ag,O,2,0.4970689165494768,-4.592507912798536,1.5988500573800568
49,Pt,C,2,0.432546125795942,-3.715482481478836,1.5032252945903104
50,Pt,N,2,0.3284271930275686,-5.419601414247209,1.5344701612391969
51,Pt,O,2,0.5238190980459203,-4.724209509228857,1.7058943586189521
58,Au,C,2,0.42973875244357096,-3.54744374278702,1.4847348254501163
59,Au,N,2,0.2964001364253921,-5.280782358805198,1.4992346371290202
60,Au,O,2,0.47389754301117915,-4.603284952219411,1.6963194706023192
7,Al,C,3,0.6774273652982501,-3.418020999993517,1.2622391587458077
8,Al,N,3,0.47216171485563896,-5.223286650436128,1.2191915771664572
9,Al,O,3,0.6999596903931136,-4.495488674898653,1.5527130845588113
16,Ni,C,3,0.8500379966657166,-3.7303193304989826,1.375914887607549
17,Ni,N,3,0.7033515690086825,-5.477005758156016,1.3816298924693582
18,Ni,O,3,0.9396322623449445,-4.740725064819754,1.5897691047994806
25,Cu,C,3,0.6154370707584373,-3.590760885240636,1.3780700515622
26,Cu,N,3,0.46244994846274423,-5.343748007536329,1.3756435591470355
27,Cu,O,3,0.6636817294439217,-4.642516226555151,1.586533296031364
34,Pd,C,3,0.4198654327991296,-3.629612626475897,1.448348122527082
35,Pd,N,3,0.2800645948733407,-5.369413464401685,1.460642249131821
36,Pd,O,3,0.4899340309019755,-4.65954402837305,1.6438555810698645
43,Ag,C,3,0.4293394742775476,-3.55976721437622,1.3769651009360722
44,Ag,N,3,0.2528788630217891,-5.336227825631978,1.3749058488323582
45,Ag,O,3,0.4966552685822725,-4.5924514200714945,1.5988660860166526
52,Pt,C,3,0.43234287368343116,-3.7152703384852246,1.5032918062083658
53,Pt,N,3,0.328233916507469,-5.419379295661186,1.534517511469649
54,Pt,O,3,0.5235263577171443,-4.724086854451511,1.7059229822682838
61,Au,C,3,0.4294952539304262,-3.547277701595445,1.484798942853442
62,Au,N,3,0.29617216675497193,-5.280600788770899,1.4992818336069478
63,Au,O,3,0.47358371584422443,-4.6031892396816465,1.696346078641251
