      Step     Time          Energy          fmax
BFGS:    0 14:15:38      -47.467432        1.179460
BFGS:    1 14:15:39      -47.507534        0.419794
BFGS:    2 14:15:40      -47.514033        0.216286
BFGS:    3 14:15:41      -47.516269        0.082509
BFGS:    4 14:15:42      -47.516476        0.043769
      Step     Time          Energy          fmax
BFGS:    0 14:17:15      -47.467432        1.179460
BFGS:    1 14:17:16      -47.507534        0.419794
BFGS:    2 14:17:17      -47.514033        0.216286
BFGS:    3 14:17:18      -47.516269        0.082509
BFGS:    4 14:17:18      -47.516476        0.043769
